Time:2022-12-08
{login=hengyunabc, contributions=1265}
{comments=2, state=closed, durationTime=0 Days 1 Hours 31 Minutes 19 Seconds}
{comments=2, state=closed, durationTime=310 Days 18 Hours 2 Minutes 1 Seconds}
{comments=2, state=closed, durationTime=0 Days 7 Hours 1 Minutes 42 Seconds}
{comments=2, state=closed, durationTime=0 Days 22 Hours 12 Minutes 37 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 0 Hours 27 Minutes 4 Seconds}
{comments=2, state=closed, durationTime=0 Days 1 Hours 8 Minutes 54 Seconds}
{comments=2, state=closed, durationTime=6 Days 19 Hours 54 Minutes 18 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 11 Minutes 3 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 46 Minutes 55 Seconds}
{comments=2, state=closed, durationTime=0 Days 1 Hours 50 Minutes 13 Seconds}
{comments=2, state=closed, durationTime=64 Days 11 Hours 22 Minutes 15 Seconds}
{comments=2, state=closed, durationTime=6 Days 14 Hours 20 Minutes 57 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 2 Minutes 51 Seconds}
{comments=2, state=closed, durationTime=41 Days 5 Hours 24 Minutes 24 Seconds}
{comments=2, state=closed, durationTime=1 Days 4 Hours 16 Minutes 47 Seconds}
{comments=2, state=closed, durationTime=249 Days 5 Hours 15 Minutes 27 Seconds}
{comments=2, state=closed, durationTime=3 Days 17 Hours 53 Minutes 45 Seconds}
{comments=2, state=closed, durationTime=11 Days 20 Hours 1 Minutes 49 Seconds}
{comments=2, state=closed, durationTime=4 Days 21 Hours 37 Minutes 17 Seconds}
{comments=2, state=closed, durationTime=2 Days 6 Hours 3 Minutes 24 Seconds}
{comments=2, state=closed, durationTime=0 Days 2 Hours 24 Minutes 12 Seconds}
{comments=2, state=closed, durationTime=0 Days 8 Hours 59 Minutes 53 Seconds}
{comments=2, state=closed, durationTime=0 Days 9 Hours 30 Minutes 22 Seconds}
{comments=2, state=closed, durationTime=0 Days 7 Hours 13 Minutes 11 Seconds}
{comments=2, state=closed, durationTime=0 Days 11 Hours 38 Minutes 51 Seconds}
{comments=2, state=closed, durationTime=0 Days 1 Hours 14 Minutes 23 Seconds}
{comments=2, state=closed, durationTime=69 Days 8 Hours 5 Minutes 23 Seconds}
{comments=2, state=closed, durationTime=2 Days 0 Hours 20 Minutes 40 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=367 Days 8 Hours 26 Minutes 36 Seconds}
{comments=2, state=closed, durationTime=10 Days 8 Hours 47 Minutes 28 Seconds}
{comments=2, state=closed, durationTime=0 Days 3 Hours 21 Minutes 14 Seconds}
{comments=2, state=closed, durationTime=0 Days 9 Hours 15 Minutes 35 Seconds}
{comments=2, state=closed, durationTime=0 Days 12 Hours 20 Minutes 29 Seconds}
{comments=2, state=closed, durationTime=1 Days 11 Hours 44 Minutes 8 Seconds}
{comments=2, state=closed, durationTime=2 Days 23 Hours 12 Minutes 12 Seconds}
{comments=2, state=closed, durationTime=0 Days 1 Hours 47 Minutes 23 Seconds}
{comments=2, state=closed, durationTime=0 Days 1 Hours 13 Minutes 52 Seconds}
{comments=2, state=closed, durationTime=1 Days 22 Hours 6 Minutes 23 Seconds}
{comments=2, state=closed, durationTime=26 Days 19 Hours 43 Minutes 2 Seconds}
{comments=2, state=closed, durationTime=0 Days 3 Hours 15 Minutes 58 Seconds}
{comments=2, state=closed, durationTime=16 Days 21 Hours 1 Minutes 4 Seconds}
{comments=2, state=closed, durationTime=1 Days 18 Hours 7 Minutes 42 Seconds}
{comments=2, state=closed, durationTime=0 Days 4 Hours 20 Minutes 21 Seconds}
{comments=2, state=closed, durationTime=999 Days 15 Hours 32 Minutes 1 Seconds}
{comments=2, state=closed, durationTime=2 Days 15 Hours 16 Minutes 5 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 0 Minutes 12 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 8 Minutes 11 Seconds}
{comments=2, state=closed, durationTime=0 Days 15 Hours 24 Minutes 8 Seconds}
{comments=2, state=closed, durationTime=1 Days 22 Hours 4 Minutes 33 Seconds}
{comments=2, state=closed, durationTime=0 Days 17 Hours 7 Minutes 33 Seconds}
{comments=2, state=closed, durationTime=2 Days 3 Hours 53 Minutes 19 Seconds}
{comments=2, state=closed, durationTime=0 Days 8 Hours 23 Minutes 54 Seconds}
{comments=2, state=closed, durationTime=58 Days 2 Hours 40 Minutes 57 Seconds}
{comments=2, state=closed, durationTime=14 Days 23 Hours 47 Minutes 51 Seconds}
{comments=2, state=closed, durationTime=0 Days 11 Hours 30 Minutes 37 Seconds}
{comments=2, state=closed, durationTime=4 Days 3 Hours 39 Minutes 9 Seconds}
{comments=2, state=closed, durationTime=20 Days 1 Hours 10 Minutes 29 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 5 Minutes 21 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 9 Minutes 18 Seconds}
{comments=2, state=closed, durationTime=0 Days 15 Hours 24 Minutes 0 Seconds}
{comments=2, state=closed, durationTime=5 Days 21 Hours 1 Minutes 17 Seconds}
{comments=2, state=closed, durationTime=68 Days 6 Hours 7 Minutes 16 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=6 Days 20 Hours 15 Minutes 9 Seconds}
{comments=2, state=closed, durationTime=6 Days 22 Hours 37 Minutes 54 Seconds}
{comments=2, state=closed, durationTime=0 Days 1 Hours 55 Minutes 50 Seconds}
{comments=2, state=closed, durationTime=7 Days 8 Hours 30 Minutes 54 Seconds}
{comments=2, state=closed, durationTime=0 Days 1 Hours 47 Minutes 41 Seconds}
{comments=2, state=closed, durationTime=25 Days 13 Hours 44 Minutes 33 Seconds}
{comments=2, state=closed, durationTime=0 Days 4 Hours 10 Minutes 0 Seconds}
{comments=2, state=closed, durationTime=59 Days 20 Hours 59 Minutes 38 Seconds}
{comments=2, state=closed, durationTime=0 Days 4 Hours 50 Minutes 34 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 7 Minutes 11 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 57 Minutes 54 Seconds}
{comments=2, state=closed, durationTime=27 Days 22 Hours 3 Minutes 41 Seconds}
{comments=2, state=closed, durationTime=0 Days 15 Hours 5 Minutes 0 Seconds}
{comments=2, state=closed, durationTime=0 Days 23 Hours 42 Minutes 2 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 21 Minutes 7 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 5 Minutes 5 Seconds}
{comments=2, state=closed, durationTime=0 Days 13 Hours 54 Minutes 44 Seconds}
{comments=2, state=closed, durationTime=175 Days 19 Hours 7 Minutes 8 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 56 Minutes 19 Seconds}
{comments=1, state=closed, durationTime=0 Days 10 Hours 7 Minutes 36 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 13 Hours 13 Minutes 25 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 58 Minutes 8 Seconds}
{comments=1, state=closed, durationTime=9 Days 21 Hours 32 Minutes 26 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 27 Minutes 12 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=17 Days 23 Hours 31 Minutes 22 Seconds}
{comments=1, state=closed, durationTime=19 Days 0 Hours 24 Minutes 22 Seconds}
{comments=1, state=closed, durationTime=0 Days 1 Hours 46 Minutes 46 Seconds}
{comments=1, state=closed, durationTime=0 Days 2 Hours 14 Minutes 13 Seconds}
{comments=1, state=closed, durationTime=0 Days 2 Hours 17 Minutes 15 Seconds}
{comments=1, state=closed, durationTime=0 Days 1 Hours 10 Minutes 36 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 5 Minutes 16 Seconds}
{comments=1, state=closed, durationTime=11 Days 12 Hours 58 Minutes 22 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 7 Minutes 13 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 1 Hours 16 Minutes 35 Seconds}
{comments=1, state=closed, durationTime=36 Days 23 Hours 10 Minutes 11 Seconds}
{comments=1, state=closed, durationTime=0 Days 12 Hours 5 Minutes 47 Seconds}
{comments=1, state=closed, durationTime=65 Days 6 Hours 23 Minutes 24 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 28 Minutes 59 Seconds}
{comments=1, state=closed, durationTime=0 Days 16 Hours 41 Minutes 50 Seconds}
{comments=1, state=closed, durationTime=0 Days 16 Hours 43 Minutes 26 Seconds}
{comments=1, state=closed, durationTime=1 Days 13 Hours 54 Minutes 33 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 43 Minutes 58 Seconds}
{comments=1, state=closed, durationTime=0 Days 2 Hours 43 Minutes 40 Seconds}
{comments=1, state=closed, durationTime=6 Days 22 Hours 58 Minutes 39 Seconds}
{comments=1, state=closed, durationTime=82 Days 4 Hours 32 Minutes 18 Seconds}
{comments=1, state=closed, durationTime=9 Days 0 Hours 3 Minutes 0 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 10 Minutes 8 Seconds}
{comments=1, state=closed, durationTime=0 Days 21 Hours 54 Minutes 10 Seconds}
{comments=1, state=closed, durationTime=90 Days 20 Hours 42 Minutes 23 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 18 Minutes 11 Seconds}
{comments=1, state=closed, durationTime=5 Days 3 Hours 35 Minutes 40 Seconds}
{comments=1, state=closed, durationTime=4 Days 21 Hours 50 Minutes 22 Seconds}
{comments=1, state=closed, durationTime=8 Days 19 Hours 19 Minutes 38 Seconds}
{comments=1, state=closed, durationTime=29 Days 7 Hours 1 Minutes 44 Seconds}
{comments=1, state=closed, durationTime=34 Days 1 Hours 51 Minutes 37 Seconds}
{comments=1, state=closed, durationTime=4 Days 1 Hours 40 Minutes 57 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 1 Hours 11 Minutes 58 Seconds}
{comments=1, state=closed, durationTime=60 Days 15 Hours 37 Minutes 8 Seconds}
{comments=1, state=closed, durationTime=15 Days 14 Hours 32 Minutes 26 Seconds}
{comments=1, state=closed, durationTime=7 Days 11 Hours 22 Minutes 12 Seconds}
{comments=1, state=closed, durationTime=2 Days 20 Hours 33 Minutes 26 Seconds}
{comments=1, state=closed, durationTime=0 Days 3 Hours 1 Minutes 24 Seconds}
{comments=1, state=closed, durationTime=0 Days 16 Hours 11 Minutes 23 Seconds}
{comments=1, state=closed, durationTime=55 Days 5 Hours 23 Minutes 13 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 4 Minutes 54 Seconds}
{comments=1, state=closed, durationTime=44 Days 23 Hours 39 Minutes 12 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 1 Hours 6 Minutes 46 Seconds}
{comments=1, state=closed, durationTime=0 Days 1 Hours 15 Minutes 22 Seconds}
{comments=1, state=closed, durationTime=3 Days 1 Hours 36 Minutes 20 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 7 Hours 45 Minutes 48 Seconds}
{comments=1, state=closed, durationTime=5 Days 23 Hours 52 Minutes 25 Seconds}
{comments=1, state=closed, durationTime=0 Days 7 Hours 3 Minutes 21 Seconds}
{comments=1, state=closed, durationTime=95 Days 22 Hours 17 Minutes 32 Seconds}
{comments=1, state=closed, durationTime=6 Days 0 Hours 27 Minutes 23 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 2 Minutes 42 Seconds}
{comments=1, state=closed, durationTime=2 Days 21 Hours 55 Minutes 16 Seconds}
{comments=1, state=closed, durationTime=141 Days 21 Hours 25 Minutes 42 Seconds}
{comments=1, state=closed, durationTime=142 Days 19 Hours 19 Minutes 37 Seconds}
{comments=1, state=closed, durationTime=0 Days 14 Hours 22 Minutes 5 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 0 Minutes 28 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 0 Minutes 23 Seconds}
{comments=1, state=closed, durationTime=0 Days 3 Hours 27 Minutes 31 Seconds}
{comments=1, state=closed, durationTime=3 Days 22 Hours 26 Minutes 56 Seconds}
{comments=1, state=closed, durationTime=53 Days 23 Hours 20 Minutes 1 Seconds}
{comments=1, state=closed, durationTime=3 Days 0 Hours 51 Minutes 46 Seconds}
{comments=1, state=closed, durationTime=1 Days 23 Hours 1 Minutes 7 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 29 Minutes 58 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=71 Days 3 Hours 45 Minutes 19 Seconds}
{comments=1, state=closed, durationTime=75 Days 2 Hours 15 Minutes 55 Seconds}
{comments=1, state=closed, durationTime=0 Days 1 Hours 6 Minutes 23 Seconds}
{comments=1, state=closed, durationTime=33 Days 23 Hours 53 Minutes 19 Seconds}
{comments=1, state=closed, durationTime=1 Days 4 Hours 15 Minutes 50 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 34 Minutes 49 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 3 Minutes 32 Seconds}
{comments=1, state=closed, durationTime=6 Days 14 Hours 31 Minutes 0 Seconds}
{comments=1, state=closed, durationTime=0 Days 1 Hours 9 Minutes 18 Seconds}
{comments=1, state=closed, durationTime=0 Days 1 Hours 27 Minutes 1 Seconds}
{comments=1, state=closed, durationTime=1 Days 12 Hours 46 Minutes 12 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=3 Days 12 Hours 1 Minutes 26 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=70 Days 0 Hours 50 Minutes 10 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 5 Hours 59 Minutes 18 Seconds}
{comments=1, state=closed, durationTime=0 Days 17 Hours 14 Minutes 3 Seconds}
{comments=1, state=closed, durationTime=0 Days 16 Hours 26 Minutes 16 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=177 Days 5 Hours 20 Minutes 53 Seconds}
{comments=1, state=closed, durationTime=0 Days 3 Hours 41 Minutes 34 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=2 Days 10 Hours 13 Minutes 56 Seconds}
{comments=1, state=closed, durationTime=0 Days 2 Hours 16 Minutes 24 Seconds}
{comments=1, state=closed, durationTime=0 Days 5 Hours 57 Minutes 5 Seconds}
{comments=1, state=closed, durationTime=53 Days 21 Hours 46 Minutes 51 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=49 Days 23 Hours 50 Minutes 36 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 3 Hours 57 Minutes 14 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 14 Hours 53 Minutes 34 Seconds}
{comments=1, state=closed, durationTime=0 Days 16 Hours 49 Minutes 39 Seconds}
{comments=1, state=closed, durationTime=0 Days 14 Hours 54 Minutes 59 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=8 Days 2 Hours 2 Minutes 23 Seconds}
{comments=1, state=closed, durationTime=8 Days 20 Hours 24 Minutes 46 Seconds}
{comments=1, state=closed, durationTime=9 Days 19 Hours 24 Minutes 58 Seconds}
{comments=1, state=closed, durationTime=16 Days 11 Hours 46 Minutes 1 Seconds}
{comments=1, state=closed, durationTime=21 Days 19 Hours 47 Minutes 19 Seconds}
{comments=1, state=closed, durationTime=0 Days 1 Hours 10 Minutes 30 Seconds}
{comments=1, state=closed, durationTime=79 Days 23 Hours 51 Minutes 26 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 30 Minutes 18 Seconds}
{comments=1, state=closed, durationTime=0 Days 1 Hours 28 Minutes 30 Seconds}
{comments=1, state=closed, durationTime=4 Days 12 Hours 51 Minutes 47 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 1 Hours 13 Minutes 25 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 24 Minutes 14 Seconds}
{comments=1, state=closed, durationTime=279 Days 3 Hours 19 Minutes 13 Seconds}
{comments=1, state=closed, durationTime=4 Days 7 Hours 45 Minutes 37 Seconds}
{comments=1, state=closed, durationTime=0 Days 22 Hours 48 Minutes 0 Seconds}
{comments=1, state=closed, durationTime=0 Days 2 Hours 15 Minutes 4 Seconds}
{comments=1, state=closed, durationTime=0 Days 4 Hours 49 Minutes 52 Seconds}
{comments=1, state=closed, durationTime=0 Days 4 Hours 41 Minutes 33 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 1 Minutes 34 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 18 Minutes 35 Seconds}
{comments=1, state=closed, durationTime=0 Days 4 Hours 40 Minutes 23 Seconds}
{comments=1, state=closed, durationTime=0 Days 2 Hours 20 Minutes 11 Seconds}
{comments=1, state=closed, durationTime=347 Days 16 Hours 50 Minutes 50 Seconds}
{comments=1, state=closed, durationTime=13 Days 9 Hours 12 Minutes 8 Seconds}
{comments=1, state=closed, durationTime=20 Days 11 Hours 19 Minutes 56 Seconds}
{comments=1, state=closed, durationTime=0 Days 1 Hours 8 Minutes 7 Seconds}
{comments=1, state=closed, durationTime=0 Days 23 Hours 3 Minutes 31 Seconds}
{comments=1, state=closed, durationTime=3 Days 18 Hours 15 Minutes 53 Seconds}
{comments=1, state=closed, durationTime=0 Days 11 Hours 33 Minutes 37 Seconds}
{comments=1, state=closed, durationTime=0 Days 11 Hours 38 Minutes 56 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 20 Minutes 42 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=33 Days 3 Hours 59 Minutes 11 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=1 Days 3 Hours 20 Minutes 43 Seconds}
{comments=1, state=closed, durationTime=3 Days 3 Hours 32 Minutes 26 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 15 Minutes 43 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 22 Minutes 11 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=2 Days 21 Hours 39 Minutes 55 Seconds}
{comments=1, state=closed, durationTime=3 Days 2 Hours 39 Minutes 59 Seconds}
{comments=1, state=closed, durationTime=17 Days 2 Hours 41 Minutes 38 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 31 Minutes 16 Seconds}
{comments=1, state=closed, durationTime=1 Days 0 Hours 30 Minutes 14 Seconds}
{comments=1, state=closed, durationTime=0 Days 2 Hours 22 Minutes 20 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=2 Days 23 Hours 50 Minutes 43 Seconds}
{comments=1, state=closed, durationTime=12 Days 1 Hours 27 Minutes 47 Seconds}
{comments=1, state=closed, durationTime=87 Days 12 Hours 55 Minutes 17 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 4 Minutes 57 Seconds}
{comments=1, state=closed, durationTime=1 Days 1 Hours 52 Minutes 18 Seconds}
{comments=1, state=closed, durationTime=37 Days 21 Hours 43 Minutes 45 Seconds}
{comments=1, state=closed, durationTime=13 Days 15 Hours 21 Minutes 14 Seconds}
{comments=1, state=closed, durationTime=14 Days 0 Hours 15 Minutes 1 Seconds}
{comments=1, state=closed, durationTime=23 Days 18 Hours 21 Minutes 41 Seconds}
{comments=1, state=closed, durationTime=3 Days 18 Hours 30 Minutes 10 Seconds}
{comments=1, state=closed, durationTime=26 Days 23 Hours 27 Minutes 51 Seconds}
{comments=1, state=closed, durationTime=15 Days 20 Hours 14 Minutes 5 Seconds}
{comments=1, state=closed, durationTime=126 Days 13 Hours 35 Minutes 43 Seconds}
{comments=1, state=closed, durationTime=0 Days 1 Hours 23 Minutes 57 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 1 Minutes 2 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 6 Minutes 9 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 10 Minutes 32 Seconds}
{comments=1, state=closed, durationTime=0 Days 1 Hours 22 Minutes 20 Seconds}
{comments=1, state=closed, durationTime=0 Days 19 Hours 45 Minutes 41 Seconds}
{comments=1, state=closed, durationTime=0 Days 4 Hours 20 Minutes 14 Seconds}
{comments=1, state=closed, durationTime=43 Days 23 Hours 53 Minutes 38 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 38 Minutes 44 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 46 Minutes 10 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 56 Minutes 24 Seconds}
{comments=1, state=closed, durationTime=40 Days 6 Hours 1 Minutes 53 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 1 Minutes 19 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 9 Minutes 47 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 2 Minutes 57 Seconds}
{comments=1, state=closed, durationTime=0 Days 12 Hours 26 Minutes 24 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 16 Minutes 53 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 0 Minutes 23 Seconds}
{comments=1, state=closed, durationTime=32 Days 2 Hours 31 Minutes 21 Seconds}
{comments=1, state=closed, durationTime=23 Days 23 Hours 59 Minutes 56 Seconds}
{comments=1, state=closed, durationTime=19 Days 5 Hours 22 Minutes 41 Seconds}
{comments=1, state=closed, durationTime=2 Days 18 Hours 51 Minutes 16 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 15 Minutes 55 Seconds}
{comments=1, state=closed, durationTime=32 Days 1 Hours 12 Minutes 19 Seconds}
{comments=1, state=closed, durationTime=54 Days 5 Hours 9 Minutes 41 Seconds}
{comments=1, state=closed, durationTime=0 Days 3 Hours 11 Minutes 7 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 45 Minutes 16 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 4 Minutes 6 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 11 Minutes 50 Seconds}
{comments=1, state=closed, durationTime=25 Days 22 Hours 27 Minutes 14 Seconds}
{comments=1, state=closed, durationTime=39 Days 23 Hours 20 Minutes 25 Seconds}
{comments=1, state=closed, durationTime=39 Days 23 Hours 51 Minutes 19 Seconds}
{comments=1, state=closed, durationTime=2 Days 3 Hours 53 Minutes 41 Seconds}
{comments=1, state=closed, durationTime=6 Days 0 Hours 16 Minutes 49 Seconds}
{comments=1, state=closed, durationTime=0 Days 3 Hours 36 Minutes 9 Seconds}
{comments=1, state=closed, durationTime=1 Days 20 Hours 58 Minutes 32 Seconds}
{comments=1, state=closed, durationTime=51 Days 23 Hours 2 Minutes 10 Seconds}
{comments=1, state=closed, durationTime=0 Days 1 Hours 19 Minutes 14 Seconds}
{comments=1, state=closed, durationTime=85 Days 21 Hours 0 Minutes 55 Seconds}
{comments=1, state=closed, durationTime=20 Days 10 Hours 18 Minutes 51 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 2 Minutes 57 Seconds}
{comments=1, state=closed, durationTime=0 Days 5 Hours 56 Minutes 41 Seconds}
{comments=1, state=closed, durationTime=63 Days 21 Hours 17 Minutes 14 Seconds}
{comments=1, state=closed, durationTime=63 Days 23 Hours 54 Minutes 38 Seconds}
{comments=1, state=closed, durationTime=34 Days 21 Hours 46 Minutes 15 Seconds}
{comments=1, state=closed, durationTime=0 Days 14 Hours 38 Minutes 13 Seconds}
{comments=1, state=closed, durationTime=1 Days 17 Hours 32 Minutes 36 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 28 Minutes 37 Seconds}
{comments=1, state=closed, durationTime=2 Days 22 Hours 2 Minutes 30 Seconds}
{comments=1, state=closed, durationTime=9 Days 7 Hours 48 Minutes 22 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=17 Days 2 Hours 52 Minutes 17 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 13 Minutes 2 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=287 Days 10 Hours 55 Minutes 4 Seconds}
{comments=1, state=closed, durationTime=0 Days 22 Hours 0 Minutes 52 Seconds}
{comments=1, state=closed, durationTime=1 Days 1 Hours 25 Minutes 34 Seconds}
{comments=1, state=closed, durationTime=0 Days 16 Hours 57 Minutes 39 Seconds}
{comments=1, state=closed, durationTime=293 Days 11 Hours 18 Minutes 32 Seconds}
{comments=1, state=closed, durationTime=12 Days 12 Hours 55 Minutes 17 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 9 Minutes 9 Seconds}
{comments=1, state=closed, durationTime=116 Days 9 Hours 24 Minutes 5 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 21 Hours 51 Minutes 40 Seconds}
{comments=1, state=closed, durationTime=0 Days 9 Hours 35 Minutes 22 Seconds}
{comments=1, state=closed, durationTime=6 Days 3 Hours 34 Minutes 32 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 23 Hours 32 Minutes 49 Seconds}
{comments=1, state=closed, durationTime=0 Days 5 Hours 30 Minutes 35 Seconds}
{comments=1, state=closed, durationTime=8 Days 16 Hours 0 Minutes 57 Seconds}
{comments=1, state=closed, durationTime=0 Days 10 Hours 56 Minutes 44 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 5 Minutes 57 Seconds}
{comments=1, state=closed, durationTime=20 Days 2 Hours 36 Minutes 38 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 18 Minutes 34 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 3 Minutes 15 Seconds}
{comments=1, state=closed, durationTime=21 Days 1 Hours 15 Minutes 47 Seconds}
{comments=1, state=closed, durationTime=3 Days 23 Hours 46 Minutes 2 Seconds}
{comments=1, state=closed, durationTime=752 Days 19 Hours 1 Minutes 44 Seconds}
{comments=1, state=closed, durationTime=35 Days 7 Hours 26 Minutes 7 Seconds}
{comments=1, state=closed, durationTime=1 Days 15 Hours 9 Minutes 44 Seconds}
{comments=1, state=closed, durationTime=19 Days 22 Hours 44 Minutes 39 Seconds}
{comments=1, state=closed, durationTime=0 Days 18 Hours 59 Minutes 20 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=2 Days 18 Hours 6 Minutes 50 Seconds}
{comments=1, state=closed, durationTime=48 Days 3 Hours 36 Minutes 2 Seconds}
{comments=1, state=closed, durationTime=5 Days 15 Hours 0 Minutes 5 Seconds}
