Time:2022-11-28
{login=wenshao, contributions=3043}
{comments=2, state=closed, durationTime=5 Days 9 Hours 9 Minutes 0 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=1 Days 15 Hours 21 Minutes 31 Seconds}
{comments=2, state=closed, durationTime=0 Days 12 Hours 3 Minutes 28 Seconds}
{comments=2, state=closed, durationTime=1 Days 12 Hours 18 Minutes 53 Seconds}
{comments=2, state=closed, durationTime=1 Days 21 Hours 36 Minutes 29 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=16 Days 2 Hours 47 Minutes 2 Seconds}
{comments=2, state=closed, durationTime=3 Days 16 Hours 32 Minutes 27 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=1 Days 21 Hours 4 Minutes 32 Seconds}
{comments=2, state=closed, durationTime=0 Days 1 Hours 18 Minutes 30 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 0 Hours 12 Minutes 24 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 31 Minutes 42 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=18 Days 11 Hours 18 Minutes 35 Seconds}
{comments=2, state=closed, durationTime=30 Days 11 Hours 42 Minutes 5 Seconds}
{comments=2, state=closed, durationTime=151 Days 18 Hours 26 Minutes 20 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=329 Days 13 Hours 35 Minutes 18 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 20 Hours 17 Minutes 46 Seconds}
{comments=2, state=closed, durationTime=0 Days 4 Hours 59 Minutes 41 Seconds}
{comments=2, state=closed, durationTime=9 Days 8 Hours 26 Minutes 32 Seconds}
{comments=2, state=closed, durationTime=18 Days 21 Hours 3 Minutes 53 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 23 Hours 7 Minutes 23 Seconds}
{comments=2, state=closed, durationTime=0 Days 6 Hours 55 Minutes 10 Seconds}
{comments=2, state=closed, durationTime=0 Days 9 Hours 44 Minutes 8 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 34 Minutes 18 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=4 Days 5 Hours 13 Minutes 59 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 2 Hours 45 Minutes 30 Seconds}
{comments=2, state=closed, durationTime=2 Days 2 Hours 13 Minutes 28 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=2 Days 21 Hours 9 Minutes 13 Seconds}
{comments=2, state=closed, durationTime=2 Days 16 Hours 13 Minutes 41 Seconds}
{comments=2, state=closed, durationTime=9 Days 6 Hours 28 Minutes 48 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 1 Hours 58 Minutes 15 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=4 Days 0 Hours 42 Minutes 22 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=466 Days 1 Hours 35 Minutes 37 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=7 Days 0 Hours 35 Minutes 31 Seconds}
{comments=2, state=closed, durationTime=16 Days 2 Hours 53 Minutes 52 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=20 Days 23 Hours 3 Minutes 38 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=153 Days 23 Hours 3 Minutes 0 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 0 Hours 57 Minutes 48 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=16 Days 19 Hours 24 Minutes 49 Seconds}
{comments=2, state=closed, durationTime=0 Days 2 Hours 24 Minutes 27 Seconds}
{comments=2, state=closed, durationTime=240 Days 14 Hours 11 Minutes 21 Seconds}
{comments=2, state=closed, durationTime=1 Days 1 Hours 16 Minutes 44 Seconds}
{comments=2, state=closed, durationTime=122 Days 12 Hours 20 Minutes 50 Seconds}
{comments=2, state=closed, durationTime=4 Days 22 Hours 2 Minutes 59 Seconds}
{comments=2, state=closed, durationTime=1 Days 8 Hours 57 Minutes 19 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=1 Days 18 Hours 41 Minutes 55 Seconds}
{comments=2, state=closed, durationTime=4 Days 22 Hours 14 Minutes 39 Seconds}
{comments=2, state=closed, durationTime=7 Days 8 Hours 12 Minutes 40 Seconds}
{comments=2, state=closed, durationTime=8 Days 10 Hours 58 Minutes 11 Seconds}
{comments=2, state=closed, durationTime=11 Days 23 Hours 31 Minutes 45 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 1 Hours 3 Minutes 26 Seconds}
{comments=2, state=closed, durationTime=0 Days 3 Hours 9 Minutes 31 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=6 Days 3 Hours 13 Minutes 18 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=9 Days 12 Hours 51 Minutes 51 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 4 Hours 9 Minutes 55 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 16 Hours 44 Minutes 22 Seconds}
{comments=2, state=closed, durationTime=1 Days 1 Hours 35 Minutes 3 Seconds}
{comments=2, state=closed, durationTime=0 Days 14 Hours 27 Minutes 0 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=1 Days 7 Hours 36 Minutes 33 Seconds}
{comments=2, state=closed, durationTime=1 Days 20 Hours 48 Minutes 9 Seconds}
{comments=2, state=closed, durationTime=9 Days 1 Hours 25 Minutes 8 Seconds}
{comments=2, state=closed, durationTime=7 Days 19 Hours 24 Minutes 45 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 1 Hours 59 Minutes 37 Seconds}
{comments=2, state=closed, durationTime=24 Days 14 Hours 35 Minutes 50 Seconds}
{comments=2, state=closed, durationTime=0 Days 23 Hours 52 Minutes 2 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=1 Days 1 Hours 47 Minutes 6 Seconds}
{comments=2, state=closed, durationTime=266 Days 16 Hours 31 Minutes 1 Seconds}
{comments=2, state=closed, durationTime=0 Days 3 Hours 39 Minutes 26 Seconds}
{comments=2, state=closed, durationTime=2 Days 19 Hours 49 Minutes 37 Seconds}
{comments=2, state=closed, durationTime=108 Days 2 Hours 19 Minutes 12 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=1 Days 11 Hours 58 Minutes 26 Seconds}
{comments=2, state=closed, durationTime=0 Days 2 Hours 56 Minutes 31 Seconds}
{comments=2, state=closed, durationTime=1 Days 8 Hours 10 Minutes 59 Seconds}
{comments=2, state=closed, durationTime=36 Days 19 Hours 21 Minutes 44 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 0 Hours 15 Minutes 18 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=7 Days 9 Hours 59 Minutes 7 Seconds}
{comments=2, state=closed, durationTime=0 Days 15 Hours 26 Minutes 21 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=19 Days 10 Hours 46 Minutes 51 Seconds}
{comments=2, state=closed, durationTime=0 Days 11 Hours 9 Minutes 57 Seconds}
{comments=2, state=closed, durationTime=0 Days 3 Hours 57 Minutes 16 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 5 Hours 17 Minutes 16 Seconds}
{comments=2, state=closed, durationTime=11 Days 15 Hours 44 Minutes 9 Seconds}
{comments=2, state=closed, durationTime=2 Days 23 Hours 29 Minutes 10 Seconds}
{comments=2, state=closed, durationTime=2 Days 15 Hours 54 Minutes 5 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=2 Days 2 Hours 47 Minutes 13 Seconds}
{comments=2, state=closed, durationTime=0 Days 7 Hours 6 Minutes 40 Seconds}
{comments=2, state=closed, durationTime=10 Days 5 Hours 25 Minutes 48 Seconds}
{comments=2, state=closed, durationTime=10 Days 19 Hours 11 Minutes 41 Seconds}
{comments=2, state=closed, durationTime=0 Days 3 Hours 28 Minutes 59 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 9 Minutes 49 Seconds}
{comments=2, state=closed, durationTime=1147 Days 12 Hours 45 Minutes 28 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 21 Hours 38 Minutes 40 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 10 Hours 13 Minutes 21 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 12 Minutes 48 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 1 Hours 9 Minutes 56 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 0 Hours 15 Minutes 38 Seconds}
{comments=2, state=closed, durationTime=0 Days 1 Hours 53 Minutes 6 Seconds}
{comments=2, state=closed, durationTime=1 Days 21 Hours 16 Minutes 49 Seconds}
{comments=2, state=closed, durationTime=3 Days 9 Hours 44 Minutes 14 Seconds}
{comments=2, state=closed, durationTime=21 Days 9 Hours 24 Minutes 42 Seconds}
{comments=2, state=closed, durationTime=15 Days 21 Hours 34 Minutes 54 Seconds}
{comments=2, state=closed, durationTime=0 Days 1 Hours 45 Minutes 35 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=1 Days 1 Hours 41 Minutes 34 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 16 Minutes 57 Seconds}
{comments=2, state=closed, durationTime=36 Days 1 Hours 47 Minutes 29 Seconds}
{comments=2, state=closed, durationTime=0 Days 7 Hours 43 Minutes 6 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=0 Days 1 Hours 25 Minutes 1 Seconds}
{comments=2, state=closed, durationTime=27 Days 1 Hours 30 Minutes 36 Seconds}
{comments=2, state=closed, durationTime=0 Days 6 Hours 41 Minutes 8 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=36 Days 23 Hours 40 Minutes 33 Seconds}
{comments=2, state=closed, durationTime=83 Days 0 Hours 51 Minutes 21 Seconds}
{comments=2, state=closed, durationTime=46 Days 17 Hours 26 Minutes 31 Seconds}
{comments=2, state=closed, durationTime=93 Days 2 Hours 44 Minutes 50 Seconds}
{comments=2, state=closed, durationTime=79 Days 23 Hours 52 Minutes 2 Seconds}
{comments=2, state=closed, durationTime=108 Days 11 Hours 38 Minutes 19 Seconds}
{comments=2, state=closed, durationTime=134 Days 22 Hours 6 Minutes 45 Seconds}
{comments=2, state=closed, durationTime=136 Days 12 Hours 5 Minutes 13 Seconds}
{comments=2, state=closed, durationTime=143 Days 3 Hours 11 Minutes 36 Seconds}
{comments=2, state=closed, durationTime=148 Days 6 Hours 54 Minutes 0 Seconds}
{comments=2, state=closed, durationTime=103 Days 9 Hours 19 Minutes 12 Seconds}
{comments=2, state=closed, durationTime=170 Days 10 Hours 25 Minutes 59 Seconds}
{comments=2, state=closed, durationTime=3 Days 19 Hours 51 Minutes 23 Seconds}
{comments=2, state=closed, durationTime=173 Days 1 Hours 55 Minutes 56 Seconds}
{comments=2, state=closed, durationTime=37 Days 11 Hours 1 Minutes 33 Seconds}
{comments=2, state=closed, durationTime=208 Days 4 Hours 53 Minutes 35 Seconds}
{comments=2, state=closed, durationTime=210 Days 0 Hours 2 Minutes 53 Seconds}
{comments=2, state=closed, durationTime=220 Days 9 Hours 27 Minutes 41 Seconds}
{comments=2, state=closed, durationTime=65 Days 23 Hours 40 Minutes 22 Seconds}
{comments=2, state=closed, durationTime=0 Days 23 Hours 20 Minutes 44 Seconds}
{comments=2, state=closed, durationTime=232 Days 0 Hours 3 Minutes 2 Seconds}
{comments=2, state=closed, durationTime=0 Days 18 Hours 32 Minutes 1 Seconds}
{comments=2, state=closed, durationTime=3 Days 22 Hours 32 Minutes 49 Seconds}
{comments=2, state=closed, durationTime=14 Days 17 Hours 21 Minutes 16 Seconds}
{comments=2, state=closed, durationTime=250 Days 8 Hours 29 Minutes 33 Seconds}
{comments=2, state=closed, durationTime=250 Days 19 Hours 42 Minutes 32 Seconds}
{comments=2, state=closed, durationTime=253 Days 3 Hours 59 Minutes 47 Seconds}
{comments=2, state=closed, durationTime=256 Days 18 Hours 36 Minutes 57 Seconds}
{comments=2, state=closed, durationTime=8 Days 4 Hours 14 Minutes 39 Seconds}
{comments=2, state=closed, durationTime=276 Days 0 Hours 45 Minutes 39 Seconds}
{comments=2, state=closed, durationTime=277 Days 8 Hours 25 Minutes 1 Seconds}
{comments=2, state=closed, durationTime=7 Days 2 Hours 14 Minutes 24 Seconds}
{comments=2, state=closed, durationTime=285 Days 4 Hours 29 Minutes 29 Seconds}
{comments=2, state=closed, durationTime=6 Days 14 Hours 47 Minutes 9 Seconds}
{comments=2, state=closed, durationTime=11 Days 7 Hours 50 Minutes 29 Seconds}
{comments=2, state=closed, durationTime=293 Days 22 Hours 33 Minutes 40 Seconds}
{comments=2, state=closed, durationTime=315 Days 4 Hours 5 Minutes 42 Seconds}
{comments=2, state=closed, durationTime=319 Days 7 Hours 17 Minutes 53 Seconds}
{comments=2, state=closed, durationTime=328 Days 1 Hours 59 Minutes 11 Seconds}
{comments=2, state=closed, durationTime=333 Days 8 Hours 43 Minutes 41 Seconds}
{comments=2, state=closed, durationTime=7 Days 21 Hours 10 Minutes 19 Seconds}
{comments=2, state=closed, durationTime=2 Days 16 Hours 7 Minutes 3 Seconds}
{comments=2, state=open, durationTime=No}
{comments=2, state=closed, durationTime=355 Days 7 Hours 14 Minutes 34 Seconds}
{comments=2, state=closed, durationTime=365 Days 14 Hours 5 Minutes 17 Seconds}
{comments=2, state=closed, durationTime=369 Days 22 Hours 23 Minutes 39 Seconds}
{comments=2, state=closed, durationTime=4 Days 6 Hours 40 Minutes 41 Seconds}
{comments=2, state=closed, durationTime=376 Days 16 Hours 53 Minutes 54 Seconds}
{comments=2, state=closed, durationTime=381 Days 22 Hours 35 Minutes 53 Seconds}
{comments=2, state=closed, durationTime=392 Days 3 Hours 38 Minutes 11 Seconds}
{comments=2, state=closed, durationTime=39 Days 19 Hours 56 Minutes 44 Seconds}
{comments=2, state=closed, durationTime=398 Days 6 Hours 6 Minutes 11 Seconds}
{comments=2, state=closed, durationTime=399 Days 23 Hours 31 Minutes 36 Seconds}
{comments=2, state=closed, durationTime=408 Days 3 Hours 13 Minutes 6 Seconds}
{comments=2, state=closed, durationTime=422 Days 5 Hours 56 Minutes 50 Seconds}
{comments=2, state=closed, durationTime=433 Days 4 Hours 38 Minutes 27 Seconds}
{comments=2, state=closed, durationTime=0 Days 14 Hours 6 Minutes 21 Seconds}
{comments=2, state=closed, durationTime=198 Days 5 Hours 52 Minutes 59 Seconds}
{comments=2, state=closed, durationTime=448 Days 12 Hours 58 Minutes 11 Seconds}
{comments=2, state=closed, durationTime=450 Days 14 Hours 26 Minutes 30 Seconds}
{comments=2, state=closed, durationTime=457 Days 21 Hours 2 Minutes 13 Seconds}
{comments=2, state=closed, durationTime=471 Days 23 Hours 37 Minutes 9 Seconds}
{comments=2, state=closed, durationTime=468 Days 13 Hours 26 Minutes 4 Seconds}
{comments=2, state=closed, durationTime=471 Days 8 Hours 57 Minutes 23 Seconds}
{comments=2, state=closed, durationTime=484 Days 2 Hours 18 Minutes 53 Seconds}
{comments=2, state=closed, durationTime=506 Days 9 Hours 5 Minutes 49 Seconds}
{comments=2, state=closed, durationTime=521 Days 17 Hours 32 Minutes 16 Seconds}
{comments=2, state=closed, durationTime=525 Days 14 Hours 10 Minutes 41 Seconds}
{comments=2, state=closed, durationTime=0 Days 16 Hours 51 Minutes 56 Seconds}
{comments=2, state=closed, durationTime=529 Days 10 Hours 19 Minutes 57 Seconds}
{comments=2, state=closed, durationTime=540 Days 9 Hours 13 Minutes 39 Seconds}
{comments=2, state=closed, durationTime=577 Days 1 Hours 13 Minutes 1 Seconds}
{comments=2, state=closed, durationTime=49 Days 23 Hours 19 Minutes 1 Seconds}
{comments=2, state=closed, durationTime=109 Days 1 Hours 7 Minutes 39 Seconds}
{comments=2, state=closed, durationTime=130 Days 12 Hours 13 Minutes 52 Seconds}
{comments=2, state=closed, durationTime=0 Days 0 Hours 48 Minutes 43 Seconds}
{comments=2, state=closed, durationTime=133 Days 11 Hours 52 Minutes 51 Seconds}
{comments=2, state=closed, durationTime=137 Days 3 Hours 8 Minutes 44 Seconds}
{comments=2, state=closed, durationTime=720 Days 1 Hours 44 Minutes 26 Seconds}
{comments=2, state=closed, durationTime=167 Days 10 Hours 34 Minutes 22 Seconds}
{comments=2, state=closed, durationTime=168 Days 14 Hours 5 Minutes 53 Seconds}
{comments=2, state=closed, durationTime=182 Days 18 Hours 32 Minutes 1 Seconds}
{comments=2, state=closed, durationTime=192 Days 23 Hours 29 Minutes 33 Seconds}
{comments=2, state=closed, durationTime=99 Days 15 Hours 13 Minutes 57 Seconds}
{comments=2, state=closed, durationTime=27 Days 21 Hours 50 Minutes 39 Seconds}
{comments=2, state=closed, durationTime=252 Days 13 Hours 36 Minutes 1 Seconds}
{comments=2, state=closed, durationTime=22 Days 2 Hours 11 Minutes 41 Seconds}
{comments=2, state=closed, durationTime=261 Days 9 Hours 15 Minutes 47 Seconds}
{comments=2, state=closed, durationTime=269 Days 17 Hours 0 Minutes 18 Seconds}
{comments=2, state=closed, durationTime=297 Days 8 Hours 53 Minutes 50 Seconds}
{comments=2, state=closed, durationTime=318 Days 2 Hours 40 Minutes 39 Seconds}
{comments=2, state=closed, durationTime=317 Days 17 Hours 14 Minutes 52 Seconds}
{comments=2, state=closed, durationTime=876 Days 1 Hours 7 Minutes 59 Seconds}
{comments=2, state=closed, durationTime=329 Days 16 Hours 13 Minutes 3 Seconds}
{comments=2, state=closed, durationTime=332 Days 22 Hours 9 Minutes 14 Seconds}
{comments=2, state=closed, durationTime=343 Days 20 Hours 13 Minutes 8 Seconds}
{comments=2, state=closed, durationTime=352 Days 21 Hours 3 Minutes 45 Seconds}
{comments=2, state=closed, durationTime=388 Days 11 Hours 13 Minutes 30 Seconds}
{comments=2, state=closed, durationTime=392 Days 7 Hours 37 Minutes 7 Seconds}
{comments=2, state=closed, durationTime=393 Days 8 Hours 37 Minutes 6 Seconds}
{comments=2, state=closed, durationTime=399 Days 12 Hours 42 Minutes 18 Seconds}
{comments=2, state=closed, durationTime=407 Days 17 Hours 27 Minutes 41 Seconds}
{comments=2, state=closed, durationTime=424 Days 0 Hours 35 Minutes 29 Seconds}
{comments=2, state=closed, durationTime=4 Days 4 Hours 16 Minutes 35 Seconds}
{comments=2, state=closed, durationTime=426 Days 13 Hours 1 Minutes 1 Seconds}
{comments=2, state=closed, durationTime=0 Days 2 Hours 29 Minutes 22 Seconds}
{comments=2, state=closed, durationTime=3 Days 9 Hours 4 Minutes 59 Seconds}
{comments=2, state=closed, durationTime=7 Days 23 Hours 4 Minutes 9 Seconds}
{comments=2, state=closed, durationTime=1 Days 2 Hours 32 Minutes 36 Seconds}
{comments=2, state=closed, durationTime=3 Days 16 Hours 48 Minutes 10 Seconds}
{comments=2, state=closed, durationTime=0 Days 1 Hours 49 Minutes 38 Seconds}
{comments=2, state=closed, durationTime=27 Days 13 Hours 3 Minutes 32 Seconds}
{comments=2, state=closed, durationTime=54 Days 9 Hours 59 Minutes 44 Seconds}
{comments=2, state=closed, durationTime=3 Days 23 Hours 16 Minutes 39 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=2 Days 7 Hours 15 Minutes 18 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=3 Days 8 Hours 3 Minutes 17 Seconds}
{comments=1, state=closed, durationTime=4 Days 5 Hours 29 Minutes 54 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 0 Minutes 8 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=31 Days 6 Hours 39 Minutes 57 Seconds}
{comments=1, state=closed, durationTime=34 Days 11 Hours 33 Minutes 28 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=5 Days 18 Hours 17 Minutes 24 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=45 Days 2 Hours 54 Minutes 10 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=72 Days 0 Hours 18 Minutes 50 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 19 Minutes 54 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=80 Days 12 Hours 45 Minutes 47 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=87 Days 7 Hours 46 Minutes 38 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=94 Days 1 Hours 16 Minutes 5 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=2 Days 15 Hours 59 Minutes 28 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=118 Days 21 Hours 45 Minutes 36 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 1 Hours 8 Minutes 20 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 52 Minutes 19 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=4 Days 2 Hours 21 Minutes 21 Seconds}
{comments=1, state=closed, durationTime=4 Days 14 Hours 5 Minutes 44 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 32 Minutes 9 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=11 Days 18 Hours 34 Minutes 14 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=10 Days 23 Hours 26 Minutes 27 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 5 Minutes 20 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 10 Hours 8 Minutes 51 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 3 Minutes 33 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 14 Hours 52 Minutes 32 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 8 Minutes 9 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 3 Hours 0 Minutes 25 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 10 Minutes 59 Seconds}
{comments=1, state=closed, durationTime=0 Days 8 Hours 55 Minutes 48 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=1 Days 8 Hours 6 Minutes 33 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 1 Minutes 36 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=1 Days 19 Hours 54 Minutes 13 Seconds}
{comments=1, state=closed, durationTime=8 Days 3 Hours 49 Minutes 46 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 18 Minutes 28 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 23 Hours 46 Minutes 43 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 0 Hours 8 Minutes 14 Seconds}
{comments=1, state=closed, durationTime=6 Days 17 Hours 5 Minutes 9 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 0 Minutes 16 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 1 Minutes 5 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=39 Days 1 Hours 20 Minutes 35 Seconds}
{comments=1, state=closed, durationTime=0 Days 0 Hours 1 Minutes 29 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=closed, durationTime=0 Days 4 Hours 29 Minutes 59 Seconds}
{comments=1, state=closed, durationTime=324 Days 7 Hours 19 Minutes 49 Seconds}
{comments=1, state=closed, durationTime=15 Days 5 Hours 35 Minutes 50 Seconds}
{comments=1, state=closed, durationTime=0 Days 2 Hours 59 Minutes 20 Seconds}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
{comments=1, state=open, durationTime=No}
